submitter_id	data_category	md5sum	file_size	file_name	core_metadata_collections.submitter_id	data_format	data_type	object_id	type
COVID02_C_0717	County	5c3f3f073b41af43522c37f496782e80	8166774	COVID02_C.csv	covid_county133	CSV	Geographic Data	dg.6VTS/c4381a5b-bdb8-4927-9283-3f12a5440717	reference_file
COVID02_S_993a	State	78b46c849163f035943da0f666bf2fad	153334	COVID02_S.csv	covid_state132	CSV	Geographic Data	dg.6VTS/967b76d5-e7cd-4916-9014-23cae256993a	reference_file
COVID03_C_eb9b	County	8e4779a2610e3d16ad779ace3d918922	5752009	COVID03_C.csv	covid_county135	CSV	Geographic Data	dg.6VTS/c8c9ebcb-9bae-4d81-9dc6-c138e42beb9b	reference_file
COVID03_S_8037	State	78376572708e4b7abbd32f58a543e207	143592	COVID03_S.csv	covid_state134	CSV	Geographic Data	dg.6VTS/f2bd3c39-2c29-40f9-b32b-4e5c85118037	reference_file
COVID04_C_4378	County	9cb87bc2444550beb79af9dd9eb856fa	6053990	COVID04_C.csv	covid_county137	CSV	Geographic Data	dg.6VTS/75d54a7b-052e-48c0-91b3-b5a412824378	reference_file
COVID04_S_28cb	State	cb4f752a768c5239680cb45d54ae8ec1	117336	COVID04_S.csv	covid_state136	CSV	Geographic Data	dg.6VTS/18dae3f6-1677-4416-afce-949d4b5728cb	reference_file
DS01_C_cdd9	County	e34fd2a6d68b2cca476570ea1e4cbbfc	457715	DS01_C.csv	"demographic_county41,demographic_county45,demographic_county49,demographic_county53"	CSV	Geographic Data	dg.6VTS/ed6af3bd-efbc-41e6-927a-4b12cc1ccdd9	reference_file
DS01_S_fa71	State	5add946f5bd4809d09f3524f4416633e	8902	DS01_S.csv	"demographic_state40,demographic_state44,demographic_state48,demographic_state52"	CSV	Geographic Data	dg.6VTS/3b1f3d8d-29f1-4e6b-acfc-790586f8fa71	reference_file
DS01_T_39e5	Tract	06121bf482ee4308b0884595823719d1	9844112	DS01_T.csv	"demographic_tract42,demographic_tract46,demographic_tract50,demographic_tract54"	CSV	Geographic Data	dg.6VTS/689be8e6-55e5-485a-9eef-876c61ba39e5	reference_file
DS01_Z_2790	Zip	2571c0ecb42a778cf6530b8f4894f586	4162208	DS01_Z.csv	"demographic_zip43,demographic_zip47,demographic_zip51,demographic_zip55"	CSV	Geographic Data	dg.6VTS/0707b60c-e313-4465-8e79-0f1fdba52790	reference_file
DS02_T_320b	Tract	dcf58bb88de5241ed1a2020be1c61977	1078527	DS02_T.csv	demographic_tract56	CSV	Geographic Data	dg.6VTS/42f66063-27e1-4c37-a95b-aabd8590320b	reference_file
DS03_C_395c	County	df95ee394ce6339cd8d737f6b11982eb	99006	DS03_C.csv	demographic_county57	CSV	Geographic Data	dg.6VTS/d8796237-1e71-4aca-8203-97324429395c	reference_file
DS03_T_204c	Tract	d638189502eb7fdd5b17cb9ee4ef6876	2719887	DS03_T.csv	demographic_tract58	CSV	Geographic Data	dg.6VTS/9ef62f99-894f-45df-a883-6cd979f7204c	reference_file
DS03_Z_da3a	Zip	fff331e89540bbe43005bab4874dfb8f	1463109	DS03_Z.csv	demographic_zip59	CSV	Geographic Data	dg.6VTS/7147e754-077d-445a-b9c6-1c226ea2da3a	reference_file
DS04_C_c2f7	County	768049d4835dffabc667e50f6fc5eb07	432192	DS04_C.csv	demographic_county61	CSV	Geographic Data	dg.6VTS/17dda128-4a91-4051-8ca4-f578aaddc2f7	reference_file
DS04_S_2dca	State	c935a2b9a1ff372aad24bfb54492d7d0	10045	DS04_S.csv	demographic_state60	CSV	Geographic Data	dg.6VTS/0736a18a-0861-4884-b2e7-5061b5a72dca	reference_file
DS04_T_53d7	Tract	9fff6870eb115aed83b464905381ddd5	9139343	DS04_T.csv	demographic_tract62	CSV	Geographic Data	dg.6VTS/88a3ab2c-78b6-441f-b9f9-273244cc53d7	reference_file
DS04_Z_c08f	Zip	f6e2c75c627a7ca604eaa70d6ee4f4dc	4467833	DS04_Z.csv	demographic_zip63	CSV	Geographic Data	dg.6VTS/39c9ce23-85a0-441a-b2af-cae190efc08f	reference_file
DS05_C_78b8	County	ec58e40da9f71cf90701ec66e15f9df8	142589	DS05_C.csv	demographic_county65	CSV	Geographic Data	dg.6VTS/24ce4d6e-4445-427a-ab6e-624b155678b8	reference_file
DS05_S_1c87	State	39e1052003949790327bd136eb997ea4	2722	DS05_S.csv	demographic_state64	CSV	Geographic Data	dg.6VTS/057b3924-0fd6-4f03-9744-1ee92b811c87	reference_file
DS05_T_41ae	Tract	b8e326a67257d1e232e47a8169260f91	3854099	DS05_T.csv	demographic_tract66	CSV	Geographic Data	dg.6VTS/cf52dcc9-8e47-4c44-8aba-61b3739a41ae	reference_file
DS05_Z_4cb8	Zip	7ebab1cd7ea61527eed7be2698853821	1299288	DS05_Z.csv	demographic_zip67	CSV	Geographic Data	dg.6VTS/ce9f6f0f-56f3-4b08-9679-99ce97784cb8	reference_file
DS06_C_e3bc	County	d8a91d3fbfaffa80459aeb226bb38e47	47485	DS06_C.csv	demographic_county69	CSV	Geographic Data	dg.6VTS/7592270f-761f-4135-8006-f492847be3bc	reference_file
DS06_S_1713	State	8f18ff834277d9869c74ad5617ff9f76	1080	DS06_S.csv	demographic_state68	CSV	Geographic Data	dg.6VTS/3e4fd771-d509-4094-858f-120dd6591713	reference_file
