submitter_id	file_name	md5sum	file_size	object_id	data_type	data_format	data_category	core_metadata_collections.submitter_id	type
oeps_combined_county	oeps_combined_county.csv	456b84a7346f00c4f7ee6c93ffeea4e1	30014892	dg.6VTS/81556f72-85f3-4680-9509-58fc8bf22a15	Spatial Data	CSV	County	oeps_combined_county	reference_file
oeps_combined_county_with_file_prefix	oeps_combined_county_with_file_prefix.csv	9bab6f7316d20967012723c72d34ba86	30029151	dg.6VTS/9993abb2-50ee-4e17-8a81-bddb473b771f	Spatial Data	CSV	County	oeps_combined_county	reference_file
oeps_combined_state	oeps_combined_state.csv	ea9ef5badea3339e65d179c2913fa1f7	591332	dg.6VTS/6654624d-a5a3-4b7e-b718-56159945fc1b	Spatial Data	CSV	State	oeps_combined_state	reference_file
oeps_combined_state_with_file_prefix	oeps_combined_state_with_file_prefix.csv	3047fc73c156f0038f2e6fb33b5b0bae	605398	dg.6VTS/c715c5d7-83b3-41cf-a23e-ad0c6d78d59c	Spatial Data	CSV	State	oeps_combined_state	reference_file
oeps_combined_tract	oeps_combined_tract.csv	eb82977218a78099763b0acfa58ae9ac	14519598	dg.6VTS/0140704f-8e5d-45dc-98f5-a58cb1384afb	Spatial Data	CSV	Tract	oeps_combined_tract	reference_file
oeps_combined_tract_with_file_prefix	oeps_combined_tract_with_file_prefix.csv	9d22d4527dd7738455ec5a9d3d6d5277	58536575	dg.6VTS/dcfa19f6-1426-4936-8c26-67bfff92275d	Spatial Data	CSV	Tract	oeps_combined_tract	reference_file
oeps_combined_zip	oeps_combined_zip.csv	d71880a90cd04a07502ebde09bae80da	23142244	dg.6VTS/74624aae-70f0-46f3-8fce-2b8bc227f063	Spatial Data	CSV	Zip	oeps_combined_zip	reference_file
oeps_combined_zip_with_file_prefix	oeps_combined_zip_with_file_prefix.csv	3e2bb1cbcdc8cce0247c44b17cc21176	23142908	dg.6VTS/06c0a0a8-e264-44e7-9af9-a44aa752dda6	Spatial Data	CSV	Zip	oeps_combined_zip	reference_file
